Customer ID,Customer_Name,Segment,Total_Orders,Total_Sales,Total_Profit,First_Order_Date,Last_Order_Date,Recency_Days,Profit_Margin_%,Customer_Tier
AC-450,Amy Cox,Consumer,7,1026.597,-125.19300000000001,2012-04-02,2014-07-03,182,-12.194950891148135,Bronze
AC-615,Ann Chong,Corporate,7,2298.432,-280.54799999999994,2011-04-30,2014-09-30,93,-12.206060479492105,Silver
AC-660,Anna Chung,Consumer,4,2676.09,726.87,2013-05-27,2014-09-03,120,27.161642545654292,Silver
AD-10180,Alan Dominguez,Home Office,27,17858.5048,2050.7542,2011-08-16,2014-12-02,30,11.483347698851027,Platinum
AD-180,Alan Dominguez,Home Office,3,681.288,-510.762,2014-06-02,2014-12-26,6,-74.97005671610243,Bronze
AF-10870,Art Ferguson,Consumer,36,26487.2585,1736.0717000000002,2011-03-30,2014-12-25,7,6.554365375336976,Platinum
AF-10885,Art Foster,Consumer,35,19711.16728,2882.91478,2011-03-28,2014-11-08,54,14.625794297454716,Platinum
AF-870,Art Ferguson,Consumer,9,1700.082,542.232,2011-10-01,2014-12-26,6,31.894461561265864,Silver
AF-885,Art Foster,Consumer,2,354.99,88.32,2014-06-11,2014-07-17,168,24.87957407250908,Bronze
AG-10270,Alejandro Grove,Consumer,25,10637.40422,2151.99612,2011-01-09,2014-11-21,41,20.230462954053273,Gold
AG-10300,Aleksandra Gannaway,Corporate,24,13013.8762,1845.7666,2011-01-19,2014-12-29,3,14.183065611151271,Gold
AG-10330,Alex Grayson,Consumer,29,14534.50618,929.46708,2011-07-20,2014-12-23,9,6.394899616740883,Platinum
AG-10390,Allen Goldenen,Consumer,19,8453.0096,995.7429999999999,2011-04-19,2014-09-08,115,11.779745287406275,Gold
AG-10495,Andrew Gjertsen,Corporate,29,15380.31006,2749.0618600000003,2011-04-04,2014-10-14,79,17.873904032335226,Platinum
AG-10525,Andy Gerbode,Corporate,20,8468.963,36.033699999999996,2011-08-09,2014-12-19,13,0.4254794831433316,Gold
AG-10675,Anna Gayman,Consumer,21,13023.836000000001,680.7906999999999,2011-03-10,2014-11-14,48,5.227267143105916,Gold
AG-10765,Anthony Garverick,Home Office,27,9824.7795,1250.5845,2011-01-12,2014-12-03,29,12.728881090919138,Gold
AG-10900,Arthur Gainer,Consumer,29,18174.17176,1879.7671599999999,2011-02-21,2014-11-04,58,10.34306919084603,Platinum
AG-270,Alejandro Grove,Consumer,8,2779.806,450.57599999999996,2011-10-04,2014-12-18,14,16.208900908912348,Silver
AG-300,Aleksandra Gannaway,Corporate,6,1703.31,-1072.62,2012-09-25,2014-09-24,99,-62.972682600348726,Silver
AG-330,Alex Grayson,Consumer,7,532.545,77.505,2011-12-14,2014-12-29,3,14.553699687350367,Bronze
AG-390,Allen Goldenen,Consumer,4,473.112,-548.478,2011-06-10,2014-09-10,113,-115.92984325064677,Bronze
AG-495,Andrew Gjertsen,Corporate,11,1003.9920000000001,-106.848,2011-02-22,2014-11-13,49,-10.642315875026892,Bronze
AG-525,Andy Gerbode,Corporate,7,2870.676,133.35599999999997,2011-06-23,2014-12-16,16,4.645456331540027,Silver
AG-675,Anna Gayman,Consumer,10,2368.131,242.27100000000007,2011-03-09,2014-07-11,174,10.2304728919135,Silver
AG-765,Anthony Garverick,Home Office,8,1859.5320000000002,-1075.278,2012-07-03,2014-09-08,115,-57.82519472641503,Silver
AG-900,Arthur Gainer,Consumer,4,1699.47,-146.52000000000004,2011-01-30,2014-12-08,24,-8.621511412381508,Silver
AH-10030,Aaron Hawkins,Corporate,27,14439.49784,2601.43304,2011-04-22,2014-12-19,13,18.01609078671395,Platinum
AH-10075,Adam Hart,Corporate,34,18109.86142,986.04342,2011-06-10,2014-12-29,3,5.444787219139306,Platinum
AH-10120,Adrian Hane,Home Office,22,9927.83588,1705.1372800000001,2011-07-18,2014-11-01,61,17.175316963438764,Gold
AH-10195,Alan Haines,Corporate,25,12628.19178,158.90887999999995,2011-01-17,2014-11-12,50,1.2583660651374742,Gold
AH-10210,Alan Hwang,Consumer,34,20365.74018,4139.66078,2011-08-23,2014-12-25,7,20.32659134120408,Platinum
AH-10465,Amy Hunt,Consumer,20,8547.83068,611.88898,2011-05-31,2014-10-22,71,7.1584125014511875,Gold
AH-10585,Angele Hood,Consumer,22,9125.8911,1458.3500999999999,2011-06-08,2014-12-10,22,15.980358345498994,Gold
AH-10690,Anna HÃ¤berlin,Corporate,31,16276.16112,2795.84372,2011-04-02,2014-12-01,31,17.1775377460751,Platinum
AH-120,Adrian Hane,Home Office,4,1478.0819999999999,376.24199999999996,2012-04-10,2014-12-10,22,25.454744729994683,Bronze
AH-195,Alan Haines,Corporate,9,2651.565,-751.155,2011-08-09,2014-03-28,279,-28.328741705370224,Silver
AH-210,Alan Hwang,Consumer,4,3277.11,202.71,2011-08-13,2013-09-30,458,6.185633073043017,Silver
AH-30,Aaron Hawkins,Corporate,7,6320.0160000000005,-150.50400000000002,2011-09-14,2013-09-19,469,-2.3813863762370224,Gold
AH-465,Amy Hunt,Consumer,4,650.826,106.446,2011-04-06,2014-05-04,242,16.35552359616856,Bronze
AH-585,Angele Hood,Consumer,9,2232.222,151.72199999999998,2011-08-10,2014-10-17,76,6.796904608950184,Silver
AH-690,Anna HÃ¤berlin,Corporate,5,1817.898,-329.83200000000005,2011-02-11,2014-11-03,59,-18.143592214744725,Silver
AH-75,Adam Hart,Corporate,8,3608.34,915.99,2011-11-01,2014-11-24,38,25.385357255690984,Silver
AI-10855,Arianne Irving,Consumer,22,8358.6023,1612.7634,2011-04-28,2014-12-18,14,19.29465408349432,Gold
AI-855,Arianne Irving,Consumer,4,919.974,-74.58599999999998,2011-05-30,2014-06-11,204,-8.10740303530317,Bronze
AJ-10780,Anthony Jacobs,Corporate,25,15186.0672,1784.2462,2011-01-11,2014-11-13,49,11.749231558780407,Platinum
AJ-10795,Anthony Johnson,Corporate,22,8887.077,1861.0924,2011-05-03,2014-10-30,63,20.941558174864472,Gold
AJ-10945,Ashley Jarboe,Consumer,29,11087.024,1567.6392,2011-03-03,2014-12-03,29,14.139404767230596,Gold
AJ-10960,Astrea Jones,Consumer,17,8633.59348,1518.67198,2011-09-14,2014-11-13,49,17.59026509086921,Gold
AJ-780,Anthony Jacobs,Corporate,12,2570.994,-612.006,2011-03-11,2014-12-30,2,-23.804256252640027,Silver
AJ-795,Anthony Johnson,Corporate,10,3395.58,617.49,2011-06-11,2014-11-25,37,18.185111232837983,Silver
AJ-945,Ashley Jarboe,Consumer,7,4860.924,1439.064,2011-06-01,2014-09-18,105,29.604741814519215,Silver
AJ-960,Astrea Jones,Consumer,10,4629.156,1012.6859999999999,2011-03-03,2014-03-12,295,21.876255628455812,Silver
AM-10360,Alice McCarthy,Corporate,33,16730.3296,2748.4754,2011-02-21,2014-12-16,16,16.42810073508653,Platinum
AM-10705,Anne McFarland,Consumer,30,24218.5645,2728.6451,2011-05-03,2014-12-06,26,11.266749934745308,Platinum
AM-360,Alice McCarthy,Corporate,6,2035.827,229.37699999999998,2012-09-15,2014-07-09,176,11.267018268251674,Silver
AM-705,Anne McFarland,Consumer,6,1303.77,509.94,2012-07-23,2014-08-17,137,39.112726938033546,Bronze
AO-10810,Anthony O'Donnell,Corporate,27,14537.7966,1028.3926000000001,2011-08-30,2014-11-25,37,7.073923430735027,Platinum
AO-810,Anthony O'Donnell,Corporate,5,485.007,64.707,2013-09-24,2014-12-24,8,13.341456927425789,Bronze
AP-10720,Anne Pryor,Home Office,20,15362.0613,2937.4661,2011-03-03,2014-11-20,42,19.121562156505654,Platinum
AP-10915,Arthur Prichep,Consumer,32,15877.8603,2420.1056,2011-01-04,2014-10-16,77,15.242013434266074,Platinum
AP-720,Anne Pryor,Home Office,6,999.699,55.29900000000001,2011-03-03,2014-11-24,38,5.531565001065322,Bronze
AP-915,Arthur Prichep,Consumer,5,2668.08,717.51,2012-11-20,2014-09-30,93,26.892372042817307,Silver
AR-10345,Alex Russell,Corporate,26,14165.796199999999,1683.9278,2011-06-03,2014-12-02,30,11.887279586868544,Platinum
AR-10405,Allen Rosenblatt,Corporate,22,8956.82078,-583.48182,2011-01-26,2014-11-07,55,-6.514385341982917,Gold
AR-10510,Andrew Roberts,Consumer,29,14277.88536,3518.96086,2011-02-21,2014-12-17,15,24.64623276678277,Platinum
AR-10540,Andy Reiter,Consumer,15,7983.9505,3050.9132999999997,2011-04-28,2014-12-25,7,38.21307885112764,Gold
AR-10570,Anemone Ratner,Consumer,18,9445.64932,1584.83232,2011-04-21,2014-12-29,3,16.778436995795644,Gold
AR-10825,Anthony Rawles,Corporate,38,15311.035600000001,2828.1048,2011-05-13,2014-12-09,23,18.471022299758744,Platinum
AR-345,Alex Russell,Corporate,9,2301.072,606.732,2011-03-30,2014-08-12,142,26.367362690085315,Silver
AR-405,Allen Rosenblatt,Corporate,6,571.11,31.20000000000001,2011-03-31,2014-05-23,223,5.463045647948733,Bronze
AR-510,Andrew Roberts,Consumer,10,2638.638,42.797999999999966,2011-09-06,2014-09-18,105,1.6219731543318925,Silver
AR-540,Andy Reiter,Consumer,8,561.6,88.17,2011-08-11,2014-05-24,222,15.699786324786324,Bronze
AR-570,Anemone Ratner,Consumer,9,2044.278,409.818,2011-04-21,2014-10-22,71,20.04707774578604,Silver
AR-825,Anthony Rawles,Corporate,7,2028.9119999999998,289.542,2011-04-26,2014-11-28,34,14.270801296458396,Silver
AS-10045,Aaron Smayling,Corporate,28,12596.2944,660.9177999999999,2011-03-21,2014-12-08,24,5.246922459989502,Gold
AS-10090,Adam Shillingsburg,Consumer,32,15009.47272,1344.96012,2011-05-21,2014-12-16,16,8.960741960028026,Platinum
AS-10135,Adrian Shami,Home Office,19,7307.2442,750.2938,2011-11-17,2014-11-20,42,10.267807937772218,Gold
AS-10225,Alan Schoenberger,Corporate,28,21366.8987,2718.6598,2011-07-20,2014-12-19,13,12.72369864326637,Platinum
AS-10240,Alan Shonely,Consumer,31,9006.66636,630.38416,2011-01-26,2014-12-19,13,6.9990841761346205,Gold
AS-10285,Alejandro Savely,Corporate,30,16179.86246,1794.86406,2011-05-06,2014-12-13,19,11.09319726565834,Platinum
AS-10630,Ann Steele,Home Office,19,9815.9395,3194.3633999999997,2011-08-01,2014-11-26,36,32.54261499879863,Gold
AS-135,Adrian Shami,Home Office,5,3978.81,814.1999999999999,2012-05-09,2014-09-30,93,20.46340488739095,Silver
AS-225,Alan Schoenberger,Corporate,7,469.515,-215.025,2011-05-18,2014-12-29,3,-45.79725887351842,Bronze
AS-240,Alan Shonely,Consumer,5,1686.51,545.07,2011-09-21,2013-08-20,499,32.31940516213957,Silver
AS-285,Alejandro Savely,Corporate,13,4938.4619999999995,738.702,2011-03-21,2014-09-23,100,14.958138788958994,Silver
AS-45,Aaron Smayling,Corporate,3,1616.334,-291.756,2012-04-28,2014-05-12,234,-18.050477190976615,Bronze
AS-630,Ann Steele,Home Office,11,2000.01,-1103.31,2011-02-04,2014-11-28,34,-55.165224173879125,Silver
AS-90,Adam Shillingsburg,Consumer,4,435.204,76.314,2011-04-06,2014-12-10,22,17.535224860065625,Bronze
AT-10435,Alyssa Tate,Home Office,24,13654.3055,3016.8983000000003,2011-06-02,2014-12-19,13,22.094849862558004,Platinum
AT-10735,Annie Thurman,Consumer,29,12984.1049,2516.7079,2011-06-06,2014-12-29,3,19.38299112170605,Gold
AT-435,Alyssa Tate,Home Office,12,1287.993,-221.36700000000002,2011-06-03,2014-12-03,29,-17.186972289445674,Bronze
AT-735,Annie Thurman,Consumer,5,403.65000000000003,143.07,2011-01-01,2014-10-23,70,35.44407283537718,Bronze
AW-10840,Anthony Witt,Consumer,25,13200.25552,1444.83202,2011-06-13,2014-12-15,17,10.945485243152325,Platinum
AW-10930,Arthur Wiediger,Home Office,22,10230.95856,2585.88196,2011-01-04,2014-11-26,36,25.27507021785846,Gold
AW-840,Anthony Witt,Consumer,7,1947.0,-228.42,2011-02-05,2014-11-05,57,-11.731895223420647,Silver
AW-930,Arthur Wiediger,Home Office,6,782.0550000000001,95.085,2012-07-13,2014-11-24,38,12.158352034064098,Bronze
AY-10555,Andy Yotov,Corporate,16,5446.61044,1850.5163400000001,2011-04-06,2014-12-17,15,33.97555893496212,Silver
AY-555,Andy Yotov,Corporate,11,3096.42,440.46000000000004,2011-08-29,2014-11-26,36,14.224814463154223,Silver
AZ-10750,Annie Zypern,Consumer,18,9639.801,1606.5633,2011-03-17,2014-10-22,71,16.665938435866053,Gold
AZ-750,Annie Zypern,Consumer,10,2231.277,-682.2030000000001,2011-04-15,2014-12-05,27,-30.574554391946858,Silver
BB-10990,Barry Blumstein,Corporate,30,9064.5327,177.0666,2011-04-05,2014-12-17,15,1.953400201203974,Gold
BB-11545,Brenda Bowman,Corporate,26,15797.57188,1686.65888,2011-10-13,2014-12-03,29,10.676696981105934,Platinum
BB-1545,Brenda Bowman,Corporate,5,207.228,52.187999999999995,2012-08-28,2014-11-12,50,25.183855463547395,Bronze
BB-990,Barry Blumstein,Corporate,7,822.288,122.358,2012-06-20,2014-11-11,51,14.880187963341312,Bronze
BC-11125,Becky Castell,Home Office,28,14789.447,2755.6784000000002,2011-04-12,2014-11-28,34,18.63273454375948,Platinum
BC-1125,Becky Castell,Home Office,6,396.042,-269.718,2011-03-10,2014-12-02,30,-68.103382974533,Bronze
BD-11320,Bill Donatelli,Consumer,32,13390.267,1409.6197,2011-04-22,2014-12-26,6,10.527196358369851,Platinum
BD-11500,Bradley Drucker,Consumer,27,13089.8495,2412.359,2011-01-04,2014-12-12,20,18.42923404123172,Gold
BD-11560,Brendan Dodson,Home Office,19,9356.77974,1909.86374,2011-01-31,2014-12-24,8,20.411549625726256,Gold
BD-11605,Brian Dahlen,Consumer,19,9202.66214,1201.1774400000002,2011-01-10,2014-09-25,98,13.052499610726773,Gold
BD-11620,Brian DeCherney,Consumer,25,7849.0000199999995,448.50692000000004,2011-03-01,2014-11-12,50,5.714191857015692,Gold
BD-11635,Brian Derr,Consumer,25,11230.6983,1303.6163,2011-04-12,2014-12-22,10,11.607615708098933,Gold
BD-11725,Bruce Degenhardt,Consumer,30,10877.827,1574.1361000000002,2011-03-25,2014-12-27,5,14.471052904224349,Gold
BD-11770,Bryan Davis,Consumer,26,10168.32526,2397.81426,2011-05-26,2014-11-26,36,23.581211248547337,Gold
BD-1320,Bill Donatelli,Consumer,6,1885.05,213.06,2013-08-01,2014-12-26,6,11.302617967693166,Silver
BD-1500,Bradley Drucker,Consumer,3,52.047,-31.293,2011-12-26,2013-11-28,399,-60.124502853190386,Bronze
BD-1560,Brendan Dodson,Home Office,5,1564.02,114.83999999999997,2011-12-12,2014-10-02,91,7.342617102083092,Bronze
BD-1605,Brian Dahlen,Consumer,5,689.64,224.48999999999998,2012-07-07,2014-03-31,276,32.55176613885505,Bronze
BD-1620,Brian DeCherney,Consumer,11,2919.597,535.917,2011-05-14,2014-09-05,118,18.355855277286555,Silver
BD-1635,Brian Derr,Consumer,9,5689.263,1488.693,2011-06-03,2014-02-10,325,26.166710872743977,Silver
BD-1725,Bruce Degenhardt,Consumer,13,5078.400000000001,901.0200000000001,2011-01-14,2014-09-22,101,17.742202268431,Silver
BD-1770,Bryan Davis,Consumer,5,3405.066,-869.5439999999999,2011-01-31,2014-05-07,239,-25.536773736544312,Silver
BE-11335,Bill Eplett,Home Office,37,27158.0184,7790.6963,2011-04-13,2014-11-26,36,28.686541798646104,Platinum
BE-11410,Bobby Elias,Consumer,30,16552.06996,3398.09706,2011-04-19,2014-10-08,85,20.529740801071384,Platinum
BE-11455,Brad Eason,Home Office,27,17643.5253,517.9141,2011-03-04,2014-12-28,4,2.9354343374903653,Platinum
BE-1335,Bill Eplett,Home Office,5,1321.1490000000001,-380.691,2011-11-22,2013-06-07,573,-28.81514499878514,Bronze
BE-1410,Bobby Elias,Consumer,7,1859.859,391.059,2011-04-08,2014-12-10,22,21.02627134637626,Silver
BE-1455,Brad Eason,Home Office,2,1340.31,460.11,2013-07-03,2014-08-07,147,34.32862546724266,Bronze
BF-1005,Barry Franz,Home Office,2,732.033,176.433,2011-04-25,2012-12-27,735,24.101782296699735,Bronze
BF-1020,Barry FranzÃ¶sisch,Corporate,7,3006.996,-193.13399999999993,2013-08-20,2014-09-26,97,-6.422821979144633,Silver
BF-1080,Bart Folk,Consumer,6,3808.17,896.94,2011-10-26,2014-06-05,210,23.553045163424954,Silver
BF-10975,Barbara Fisher,Corporate,22,8104.7792,1217.0095999999999,2011-07-14,2014-11-26,36,15.015950095222827,Gold
BF-11005,Barry Franz,Home Office,25,23347.83866,939.2375600000001,2011-09-25,2014-12-23,9,4.022803025485701,Platinum
BF-11020,Barry FranzÃ¶sisch,Corporate,24,10201.2813,1133.2553,2011-02-16,2014-12-16,16,11.108950598195934,Gold
BF-11080,Bart Folk,Consumer,21,10134.5617,1187.5689,2011-03-30,2014-12-06,26,11.718009472476743,Gold
BF-11170,Ben Ferrer,Home Office,31,22314.84044,3859.22114,2011-04-13,2014-12-15,17,17.294415124215874,Platinum
BF-11215,Benjamin Farhat,Home Office,27,12968.9385,878.9097999999999,2011-02-16,2014-12-05,27,6.777037303399965,Gold
BF-11275,Beth Fritzler,Corporate,23,9578.59864,565.06884,2011-03-22,2014-12-25,7,5.899285075379252,Gold
BF-1170,Ben Ferrer,Home Office,6,904.9200000000001,275.88,2012-12-06,2014-06-21,194,30.48667285505901,Bronze
BF-1215,Benjamin Farhat,Home Office,5,398.91900000000004,-237.591,2013-04-13,2014-09-05,118,-59.558707406766786,Bronze
BF-1275,Beth Fritzler,Corporate,7,1009.9739999999999,96.384,2011-12-09,2014-08-25,129,9.543215963975312,Bronze
BF-975,Barbara Fisher,Corporate,8,1730.232,616.722,2011-09-21,2014-12-09,23,35.64389053028727,Silver
BG-1035,Barry Gonzalez,Consumer,1,124.416,-219.804,2013-05-10,2013-05-10,601,-176.66859567901236,Bronze
BG-11035,Barry Gonzalez,Consumer,33,19899.1474,1749.982,2011-09-27,2014-12-03,29,8.79425618004116,Platinum
BG-11695,Brooke Gillingham,Corporate,19,10723.32038,568.96988,2011-05-11,2014-12-22,10,5.305911413979408,Gold
BG-11740,Bruce Geld,Consumer,24,14689.342499999999,2084.9244,2011-03-23,2014-12-25,7,14.193449434513491,Platinum
BG-1695,Brooke Gillingham,Corporate,5,488.84999999999997,-151.64999999999998,2011-04-30,2014-11-17,45,-31.02178582387235,Bronze
BG-1740,Bruce Geld,Consumer,4,692.454,-658.2959999999999,2014-06-18,2014-12-15,17,-95.06710915093277,Bronze
BH-11710,Brosina Hoffman,Consumer,31,23537.335,3243.9438,2011-01-06,2014-12-08,24,13.78212019330141,Platinum
BH-1710,Brosina Hoffman,Consumer,10,4583.286,1632.996,2011-12-30,2014-09-29,94,35.62937159060115,Silver
BK-11260,Berenike Kampe,Consumer,27,13294.68736,2389.45496,2011-04-11,2014-12-05,27,17.9730060233624,Platinum
BK-1260,Berenike Kampe,Consumer,6,291.564,58.224000000000004,2011-10-11,2014-11-21,41,19.969543565049182,Bronze
BM-11140,Becky Martin,Consumer,29,25312.2927,-1140.6354,2011-09-08,2014-12-23,9,-4.506250830451245,Platinum
BM-1140,Becky Martin,Consumer,6,1857.69,43.71000000000001,2011-06-02,2014-12-18,14,2.352922177543078,Silver
BM-11575,Brendan Murry,Corporate,25,10351.33308,-189.53732000000002,2011-03-14,2014-11-27,35,-1.8310426158173632,Gold
BM-11650,Brian Moss,Corporate,24,14920.99608,3927.16918,2011-07-09,2014-11-28,34,26.319752105986744,Platinum
BM-11785,Bryan Mills,Consumer,36,18446.8529,2036.6848,2011-03-10,2014-12-29,3,11.040825288957553,Platinum
BM-1575,Brendan Murry,Corporate,9,1703.982,471.67199999999997,2011-01-22,2014-11-21,41,27.68057409057138,Silver
BM-1650,Brian Moss,Corporate,8,2537.1059999999998,458.676,2011-08-15,2013-09-06,482,18.078708575834042,Silver
BM-1785,Bryan Mills,Consumer,9,2244.342,475.932,2011-04-15,2014-11-13,49,21.205859000098915,Silver
BN-11470,Brad Norvell,Corporate,29,23378.10388,1548.04098,2011-09-12,2014-12-20,12,6.62175593001942,Platinum
BN-11515,Bradley Nguyen,Consumer,23,10272.22552,2018.69692,2011-03-17,2014-12-22,10,19.651991830490886,Gold
BN-1470,Brad Norvell,Corporate,7,2823.852,576.012,2011-11-22,2014-12-09,23,20.398094517701352,Silver
BN-1515,Bradley Nguyen,Consumer,8,2606.8019999999997,525.3720000000001,2011-09-12,2014-12-04,28,20.153889708539435,Silver
BO-11350,Bill Overfelt,Corporate,20,7476.2546999999995,555.1937,2011-10-13,2014-09-11,112,7.426093977242376,Gold
BO-11425,Bobby Odegard,Consumer,21,12356.58552,1904.89772,2011-02-26,2014-12-26,6,15.4160525730736,Gold
BO-1350,Bill Overfelt,Corporate,6,616.236,-139.974,2012-11-20,2014-12-10,22,-22.71434969719393,Bronze
BO-1425,Bobby Odegard,Consumer,8,2671.257,651.927,2011-12-28,2014-12-30,2,24.405251909494293,Silver
BP-1050,Barry Pond,Corporate,9,4981.542,1245.882,2011-03-05,2014-12-20,12,25.009966793414566,Silver
BP-1095,Bart Pistole,Corporate,6,1759.668,384.828,2012-08-06,2014-12-20,12,21.869352627882076,Silver
BP-11050,Barry Pond,Corporate,21,5403.78676,845.07976,2011-05-12,2014-12-26,6,15.638658546918679,Silver
BP-11095,Bart Pistole,Corporate,32,8327.8696,599.4307,2011-01-14,2014-12-29,3,7.19788768066205,Gold
BP-11155,Becky Pak,Consumer,24,13696.143460000001,3395.30716,2011-08-10,2014-11-29,33,24.790242376739823,Platinum
BP-11185,Ben Peterman,Corporate,28,15376.031719999999,1989.48982,2011-09-23,2014-12-30,2,12.938902938215325,Platinum
BP-11230,Benjamin Patterson,Consumer,23,12573.6136,467.92410000000024,2011-04-01,2014-11-22,40,3.721476696245861,Gold
BP-11290,Beth Paige,Consumer,29,12448.89978,1858.82908,2011-06-06,2014-12-19,13,14.931673584410527,Gold
BP-1155,Becky Pak,Consumer,6,1110.78,180.9,2011-06-08,2014-04-14,262,16.285853184248907,Bronze
BP-1185,Ben Peterman,Corporate,10,1430.616,-645.534,2012-11-08,2014-12-27,5,-45.122800248284655,Bronze
BP-1230,Benjamin Patterson,Consumer,8,6134.988,444.288,2011-05-13,2014-10-09,84,7.241872355740549,Silver
BP-1290,Beth Paige,Consumer,4,383.34000000000003,99.27,2011-01-18,2013-12-27,370,25.896071372671774,Bronze
BS-11365,Bill Shonely,Corporate,26,22551.02596,5680.72736,2011-05-04,2014-12-31,1,25.190549512364623,Platinum
BS-11380,Bill Stewart,Corporate,23,18305.9783,1776.7021,2011-02-26,2014-12-03,29,9.705583994929134,Platinum
BS-11590,Brendan Sweed,Corporate,23,11358.58602,1783.45872,2011-01-15,2014-11-26,36,15.701414919601058,Gold
BS-11665,Brian Stugart,Consumer,24,17468.881,3112.1578,2011-06-23,2014-12-02,30,17.81543877939291,Platinum
BS-11755,Bruce Stewart,Consumer,29,17557.4595,1194.7291,2011-05-18,2014-12-30,2,6.804680939175739,Platinum
BS-11800,Bryan Spruell,Home Office,21,10887.2118,1851.8634,2011-10-08,2014-12-22,10,17.009528555327638,Gold
BS-1365,Bill Shonely,Corporate,5,957.63,288.18,2012-08-06,2014-11-24,38,30.093042197926128,Bronze
BS-1380,Bill Stewart,Corporate,5,469.458,38.328,2012-07-10,2014-08-22,132,8.164308628247895,Bronze
BS-1590,Brendan Sweed,Corporate,5,819.4499999999999,262.23,2011-04-20,2014-05-08,238,32.00073219842578,Bronze
BS-1665,Brian Stugart,Consumer,7,5101.907999999999,500.718,2011-05-14,2014-08-01,153,9.814328286593959,Silver
BS-1755,Bruce Stewart,Consumer,5,1679.76,-697.77,2012-01-13,2014-03-11,296,-41.53986283754822,Silver
BS-1800,Bryan Spruell,Home Office,9,6364.854,931.344,2011-03-01,2014-12-20,12,14.632605869671167,Gold
BT-11305,Beth Thompson,Home Office,24,10321.82,908.1758,2011-01-04,2014-12-03,29,8.798601409441359,Gold
BT-11395,Bill Tyler,Corporate,24,11347.529,2743.9623,2011-03-10,2014-12-03,29,24.18114375385161,Gold
BT-11440,Bobby Trafton,Consumer,21,8263.9755,290.9339,2011-06-04,2014-11-10,52,3.5205077749806977,Gold
